#version 3.1.022820
Isoform,RefSeq,EntrezID,Hugo_Symbol,Chromosome,Start,End,Strand,Num_Exons,Oncogene,TSG
ENST00000319349,NM_001079675,2118,ETV4,chr17,43527844,43579620,-,13,Yes,No
ENST00000358485,NM_001080125,841,CASP8,chr2,201233443,201287711,+,9,No,Yes
ENST00000402198,NM_001080517,55209,SETD5,chr3,9397615,9479240,+,23,No,No
ENST00000402399,NM_001098725,8115,TCL1A,chr14,95709947,95714196,-,4,Yes,No
ENST00000434935,NM_001099642,55783,CMTR2,chr16,71281389,71289715,-,3,No,Yes
ENST00000513000,NM_001101669,8821,INPP4B,chr4,142023160,142847432,-,27,No,Yes
ENST00000394566,NM_001104587,91607,SLFN11,chr17,35350305,35373701,-,7,No,Yes
ENST00000468789,NM_001105078,2122,MECOM,chr3,169083499,169663775,-,16,Yes,No
ENST00000434821,NM_001111067,90,ACVR1,chr2,157736444,157876330,-,11,Yes,No
ENST00000307046,NM_001111285,3479,IGF1,chr12,102395874,102481744,-,4,Yes,No
ENST00000310775,NM_001113378,55215,FANCI,chr15,89243949,89317261,+,38,No,Yes
ENST00000443427,NM_001122740,2099,ESR1,chr6,151656691,152129619,+,9,Yes,No
ENST00000331491,NM_001123375,653604,HIST2H3D,chr1,149813271,149813681,-,1,No,No
ENST00000331491,NM_001123375,653604,H3C13,chr1,149813271,149813681,-,1,No,No
ENST00000378444,NM_001123385,54880,BCOR,chrX,40049815,40177329,-,15,No,Yes
ENST00000380013,NM_001127208,54790,TET2,chr4,105145875,105279816,+,11,No,Yes
ENST00000449228,NM_001127240,27113,BBC3,chr19,47220822,47232766,-,4,No,Yes
ENST00000434045,NM_001127598,3481,IGF2,chr11,2129112,2141238,-,5,Yes,No
ENST00000396444,NM_001128610,9101,USP8,chr15,50424380,50514421,+,20,Yes,No
ENST00000282441,NM_001130145,10413,YAP1,chr11,102110447,102233424,+,9,Yes,No
ENST00000451590,NM_001130442,3265,HRAS,chr11,532242,537287,-,5,Yes,No
ENST00000280892,NM_001130678,1977,EIF4E,chr4,98871684,98930637,-,7,No,No
ENST00000074304,NM_001134224,3631,INPP4A,chr2,98444854,98594390,+,26,No,No
ENST00000343289,NM_001134373,22978,NT5C2,chr10,103088017,103193306,-,18,Yes,No
ENST00000371850,NM_001134398,7410,VAV2,chr9,133761894,133992604,-,30,Yes,No
ENST00000330684,NM_001134407,2903,GRIN2A,chr16,9753404,10182754,-,13,No,Yes
ENST00000398585,NM_001135099,7113,TMPRSS2,chr21,41464305,41531116,-,14,No,No
ENST00000435572,NM_001136023,4778,NFE2,chr12,54292111,54301015,-,3,Yes,No
ENST00000588136,NM_001136139,6929,TCF3,chr19,1609290,1652615,-,20,No,Yes
ENST00000647874,NM_001139,242,ALOX12B,chr17,8072636,8087716,-,15,No,No
ENST00000374542,NM_001141970,1616,DAXX,chr6,33318558,33323016,-,8,No,Yes
ENST00000374542,NM_001141970,113523636,DAXX,chr6,33318558,33323016,-,8,No,Yes
ENST00000382044,NM_001141980,7158,TP53BP1,chr15,43403061,43510728,-,28,No,Yes
ENST00000395833,NM_001142315,4005,LMO2,chr11,33858576,33892076,-,3,Yes,No
ENST00000442598,NM_001142548,8438,RAD54L,chr1,46246461,46278480,+,19,No,No
ENST00000424848,NM_001145306,1021,CDK6,chr7,92604921,92836594,-,8,Yes,No
ENST00000271640,NM_001145415,9869,SETDB1,chr1,150926263,150964744,+,22,Yes,Yes
ENST00000424583,NM_001145785,4207,MEF2B,chr19,19145567,19192131,-,9,Yes,No
ENST00000424583,NM_001145785,100271849,MEF2B,chr19,19145567,19192131,-,9,Yes,No
ENST00000627217,NM_001146274,6934,TCF7L2,chr10,112950247,113167678,+,14,No,Yes
ENST00000219315,NM_001160305,79918,SETD6,chr16,58515479,58521181,+,8,No,No
ENST00000405192,NM_001163147,2115,ETV1,chr7,13891229,13991425,-,12,Yes,No
ENST00000219905,NM_001164273,23269,MGA,chr15,41621224,41773081,+,24,No,Yes
ENST00000371199,NM_001167,331,XIAP,chrX,123859724,123913979,+,7,Yes,No
ENST00000490107,NM_001167740,64754,SMYD3,chr1,245749342,246507312,-,12,Yes,No
ENST00000467467,NM_001168280,25937,WWTR1,chr3,149517235,149736714,-,7,Yes,No
ENST00000537989,NM_001170794,60468,BACH2,chr6,89926528,90296908,-,7,No,Yes
ENST00000523873,NM_001171623,7422,VEGFA,chr6,43770184,43786487,+,8,Yes,No
ENST00000425967,NM_001174067,2260,FGFR1,chr8,38400215,38468834,-,19,Yes,No
ENST00000513042,NM_001177693,64283,ARHGEF28,chr5,73626158,73941993,+,36,Yes,No
ENST00000300134,NM_001178078,6778,STAT6,chr12,57095408,57132139,-,22,Yes,No
ENST00000369762,NM_001183,537,ATP6AP1,chrX,154428645,154436516,+,10,No,No
ENST00000350721,NM_001184,545,ATR,chr3,142449007,142578733,-,47,No,Yes
ENST00000403359,NM_001190274,80204,FBXO11,chr2,47789316,47905793,-,23,No,Yes
ENST00000258439,NM_001193304,55654,TMEM127,chr2,96248516,96265994,-,4,No,Yes
ENST00000346473,NM_001195057,1649,DDIT3,chr12,57516588,57521737,-,4,No,No
ENST00000307729,NM_001195626,8028,MLLT10,chr10,21524646,21743630,+,23,Yes,No
ENST00000534358,NM_001197104,4297,KMT2A,chr11,118436490,118526832,+,36,No,Yes
ENST00000369096,NM_001198,639,PRDM1,chr6,105993463,106109939,+,7,No,Yes
ENST00000617740,NM_001198626,862,RUNX1T1,chr8,91954967,92103286,-,13,Yes,No
ENST00000575087,NM_001199954,71,ACTG1,chr17,81509971,81523847,-,6,No,Yes
ENST00000329236,NM_001204468,8241,RBM10,chrX,47145221,47186813,+,24,No,Yes
ENST00000366603,NM_001206794,51742,ARID4B,chr1,235131634,235328219,-,24,No,Yes
ENST00000544604,NM_001206998,84133,ZNRF3,chr22,28883572,29057488,+,9,No,Yes
ENST00000262643,NM_001238,898,CCNE1,chr19,29811991,29824312,+,12,Yes,No
ENST00000610726,NM_001242891,7812,CSDE1,chr1,114716913,114758676,-,21,No,No
ENST00000498215,NM_001244814,27086,FOXP1,chr3,70952817,71583993,-,17,Yes,Yes
ENST00000391860,NM_001258311,79605,PGBD5,chr1,230314490,230426332,-,7,Yes,No
ENST00000381527,NM_001260,1024,CDK8,chr13,26254104,26405238,+,13,Yes,No
ENST00000534070,NM_001274,1111,CHEK1,chr11,125625665,125676255,+,13,No,Yes
ENST00000541713,NM_001278618,5770,PTPN1,chr20,50510321,50585241,+,9,Yes,Yes
ENST00000610897,NM_001282539,2782,GNB1,chr1,1785285,1891117,-,11,Yes,No
ENST00000371884,NM_001287347,6886,TAL1,chr1,47216290,47232220,-,5,Yes,No
ENST00000409262,NM_001287491,200424,TET3,chr2,73986404,74108176,+,11,No,Yes
ENST00000610579,NM_001289823,5045,FURIN,chr15,90868588,90883458,+,16,Yes,No
ENST00000506866,NM_001306199,80854,SETD7,chr4,139495941,139606699,-,8,No,No
ENST00000622429,NM_001307939,10620,ARID3B,chr15,74541177,74598131,+,9,Yes,No
ENST00000619791,NM_001353345,23067,SETD1B,chr12,121804180,121832584,+,16,No,No
ENST00000644876,NM_001356,1654,DDX3X,chrX,41333284,41364472,+,17,No,Yes
ENST00000340748,NM_001379,1786,DNMT1,chr19,10133345,10231286,-,40,Yes,No
ENST00000240100,NM_001394,1846,DUSP4,chr8,29333064,29350684,-,4,No,Yes
ENST00000379607,NM_001412,1964,EIF1AX,chrX,20124525,20141838,-,7,No,No
ENST00000263253,NM_001429,2033,EP300,chr22,41092592,41180077,+,31,No,Yes
ENST00000263734,NM_001430,2034,EPAS1,chr2,46293667,46386697,+,16,No,No
ENST00000337138,NM_001530,3091,HIF1A,chr14,61695513,61748259,+,15,Yes,No
ENST00000298229,NM_001567,3636,INPPL1,chr11,72223701,72239147,+,28,No,Yes
ENST00000366794,NM_001618,142,PARP1,chr1,226360691,226408093,-,23,No,Yes
ENST00000392038,NM_001626,208,AKT2,chr19,40230317,40285536,-,14,Yes,No
ENST00000377045,NM_001654,369,ARAF,chrX,47561100,47571920,+,16,Yes,No
ENST00000418115,NM_001664,387,RHOA,chr3,49359145,49412998,-,5,Yes,No
ENST00000276390,NM_001693,526,ATP6V1B2,chr8,20197381,20226819,+,14,No,Yes
ENST00000406870,NM_001706,604,BCL6,chr3,187721377,187745725,-,10,Yes,No
ENST00000377687,NM_001730,688,KLF5,chr13,73054976,73077541,+,4,Yes,No
ENST00000256015,NM_001731,694,BTG1,chr12,92140278,92145846,-,2,No,Yes
ENST00000437180,NM_001754,861,RUNX1,chr21,34787801,36004667,-,9,No,Yes
ENST00000261254,NM_001759,894,CCND2,chr12,4273762,4305353,+,5,Yes,No
ENST00000372991,NM_001760,896,CCND3,chr6,41934933,42050357,-,5,Yes,No
ENST00000369489,NM_001779,965,CD58,chr1,116514534,116571039,-,6,No,Yes
ENST00000221972,NM_001783,973,CD79A,chr19,41877279,41881372,+,5,Yes,No
ENST00000656825,NM_001791,998,CDC42,chr1,22025511,22101360,+,6,Yes,No
ENST00000335756,NM_001809,1058,CENPA,chr2,26764289,26801067,+,5,No,No
ENST00000349496,NM_001904,1499,CTNNB1,chr3,41194741,41260096,+,15,Yes,No
ENST00000346618,NM_001949,1871,E2F3,chr6,20401879,20493714,+,7,Yes,No
ENST00000239938,NM_001964,1958,EGR1,chr5,138465479,138469303,+,2,No,Yes
ENST00000323963,NM_001967,1974,EIF4A2,chr3,186783205,186789897,+,11,No,No
ENST00000267101,NM_001982,2065,ERBB3,chr12,56076799,56103505,+,28,Yes,No
ENST00000396373,NM_001987,2120,ETV6,chr12,11649674,11895377,+,8,No,Yes
ENST00000428826,NM_001991,2145,EZH1,chr17,42700275,42745049,-,21,Yes,No
ENST00000168712,NM_002007,2249,FGF4,chr11,69771022,69775341,-,3,Yes,No
ENST00000379561,NM_002015,2308,FOXO1,chr13,40555667,40666641,-,3,No,Yes
ENST00000527786,NM_002017,2313,FLI1,chr11,128686535,128813267,+,9,Yes,No
ENST00000282397,NM_002019,2321,FLT1,chr13,28300346,28495145,-,30,Yes,No
ENST00000376670,NM_002049,2623,GATA1,chrX,48786562,48794311,+,6,No,No
ENST00000346208,NM_002051,2625,GATA3,chr10,8045378,8075198,+,6,Yes,Yes
ENST00000078429,NM_002067,2767,GNA11,chr19,3094362,3123999,+,7,Yes,No
ENST00000286548,NM_002072,2776,GNAQ,chr9,77716097,78031811,-,7,Yes,No
ENST00000316626,NM_002093,2932,GSK3B,chr3,119821323,120094417,-,12,Yes,No
ENST00000366815,NM_002107,3020,H3F3A,chr1,226061851,226073212,+,4,No,No
ENST00000366815,NM_002107,3020,H3-3A,chr1,226061851,226073212,+,4,No,No
ENST00000268638,NM_002163,3394,IRF8,chr16,85899162,85922606,+,9,No,Yes
ENST00000374561,NM_002167,3399,ID3,chr1,23557926,23559501,-,3,No,Yes
ENST00000330062,NM_002168,3418,IDH2,chr15,90083045,90102504,-,11,Yes,No
ENST00000303115,NM_002185,3575,IL7R,chr5,35852695,35879603,+,8,Yes,No
ENST00000243786,NM_002191,3623,INHA,chr2,219569162,219575711,+,2,No,Yes
ENST00000242208,NM_002192,3624,INHBA,chr7,41667168,41705834,-,3,No,No
ENST00000245414,NM_002198,3659,IRF1,chr5,132481609,132490777,-,10,No,Yes
ENST00000342505,NM_002227,3716,JAK1,chr1,64833229,65067754,-,25,Yes,Yes
ENST00000371222,NM_002228,3725,JUN,chr1,58780791,58784047,-,1,Yes,No
ENST00000263923,NM_002253,3791,KDR,chr4,55078481,55125595,-,30,Yes,No
ENST00000335790,NM_002315,4004,LMO1,chr11,8224309,8268716,-,4,Yes,No
ENST00000429299,NM_002341,4050,LTB,chr6,31580525,31582522,-,4,Yes,Yes
ENST00000519728,NM_002350,4067,LYN,chr8,55879835,56014169,+,13,Yes,No
ENST00000371139,NM_002351,4068,SH2D1A,chrX,124227868,124373197,+,4,No,Yes
ENST00000263735,NM_002354,4072,EPCAM,chr2,47345158,47387601,+,9,No,Yes
ENST00000358664,NM_002382,4149,MAX,chr14,65006174,65102695,-,5,No,Yes
ENST00000258149,NM_002392,4193,MDM2,chr12,68808177,68850686,+,11,Yes,No
ENST00000367182,NM_002393,4194,MDM4,chr1,204516379,204558120,+,11,Yes,No
ENST00000265081,NM_002439,4437,MSH3,chr5,80654652,80876815,+,24,No,Yes
ENST00000257552,NM_002442,4440,MSI1,chr12,120341330,120369164,-,15,Yes,No
ENST00000296474,NM_002447,4486,MST1R,chr3,49887002,49903873,-,20,Yes,No
ENST00000380956,NM_002460,3662,IRF4,chr6,391752,411443,+,9,Yes,No
ENST00000621592,NM_002467,4609,MYC,chr8,127735434,127742951,+,3,Yes,No
ENST00000650905,NM_002468,4615,MYD88,chr3,38138478,38143022,+,5,Yes,No
ENST00000250003,NM_002478,4654,MYOD1,chr11,17719571,17722136,+,3,No,No
ENST00000265433,NM_002485,4683,NBN,chr8,89933336,90003228,-,16,No,Yes
ENST00000296930,NM_002520,4869,NPM1,chr5,171387116,171411137,+,11,No,Yes
ENST00000369535,NM_002524,4893,NRAS,chr1,114704469,114716771,-,7,Yes,No
ENST00000651570,NM_002528,4913,NTHL1,chr16,2039815,2047866,-,6,No,Yes
ENST00000524377,NM_002529,4914,NTRK1,chr1,156815640,156881850,+,17,Yes,No
ENST00000356341,NM_002576,5058,PAK1,chr11,77321707,77474635,-,15,Yes,No
ENST00000331163,NM_002608,5155,PDGFB,chr22,39223359,39244982,-,7,Yes,No
ENST00000261799,NM_002609,5159,PDGFRB,chr5,150113839,150155872,-,23,Yes,No
ENST00000342085,NM_002613,5170,PDPK1,chr16,2537979,2603188,+,14,No,No
ENST00000333590,NM_002641,5277,PIGA,chrX,15319451,15335580,-,6,No,Yes
ENST00000262039,NM_002647,5289,PIK3C3,chr18,41955234,42087830,+,25,No,No
ENST00000373509,NM_002648,5292,PIM1,chr6,37170152,37175428,+,6,No,No
ENST00000359195,NM_002649,5294,PIK3CG,chr7,106865278,106908980,+,11,Yes,No
ENST00000564138,NM_002661,5336,PLCG2,chr16,81739097,81962685,+,33,Yes,No
ENST00000440232,NM_002691,5424,POLD1,chr19,50384204,50418018,+,27,No,Yes
ENST00000373547,NM_002721,5537,PPP6C,chr9,125146573,125189939,-,7,No,Yes
ENST00000308677,NM_002730,5566,PRKACA,chr19,14091688,14118084,-,10,Yes,No
ENST00000295797,NM_002740,5584,PRKCI,chr3,170222424,170305977,+,18,Yes,No
ENST00000331968,NM_002742,5587,PRKD1,chr14,29576479,30191898,-,18,No,No
ENST00000215832,NM_002745,5594,MAPK1,chr22,21754500,21867680,-,9,Yes,No
ENST00000263025,NM_002746,5595,MAPK3,chr16,30114105,30123506,-,9,Yes,No
ENST00000307102,NM_002755,5604,MAP2K1,chr15,66386817,66492312,+,11,Yes,No
ENST00000311737,NM_002769,5644,PRSS1,chr7,142749468,142753076,+,5,No,No
ENST00000309660,NM_002828,5771,PTPN2,chr18,12785478,12929643,-,9,No,Yes
ENST00000351677,NM_002834,5781,PTPN11,chr12,112418351,112509913,+,16,Yes,No
ENST00000381196,NM_002839,5789,PTPRD,chr9,8314246,10612723,-,43,No,Yes
ENST00000587303,NM_002850,5802,PTPRS,chr19,5158495,5340803,-,37,No,Yes
ENST00000249071,NM_002872,5880,RAC2,chr22,37225270,37244448,-,7,Yes,No
ENST00000267868,NM_002875,5888,RAD51,chr15,40694774,40732340,+,10,No,Yes
ENST00000251849,NM_002880,5894,RAF1,chr3,12583601,12664226,-,17,Yes,No
ENST00000274376,NM_002890,5921,RASA1,chr5,87267883,87391931,+,25,No,Yes
ENST00000355431,NM_002892,5926,ARID4A,chr14,58298504,58373887,+,24,No,Yes
ENST00000295025,NM_002908,5966,REL,chr2,60881521,60931610,+,11,Yes,No
ENST00000262803,NM_002911,5976,UPF1,chr19,18831938,18868236,+,24,No,No
ENST00000464233,NM_002941,6091,ROBO1,chr3,78597239,79767998,-,31,No,Yes
ENST00000368508,NM_002944,6098,ROS1,chr6,117288300,117425855,-,43,Yes,No
ENST00000481739,NM_002957,6256,RXRA,chr9,134317098,134440585,+,10,No,No
ENST00000672613,NM_002973,6311,ATXN2,chr12,111443485,111599676,-,25,No,Yes
ENST00000375499,NM_003000,6390,SDHB,chr1,17018722,17054032,-,8,No,Yes
ENST00000367975,NM_003001,6391,SDHC,chr1,161314257,161375340,+,6,No,Yes
ENST00000375549,NM_003002,6392,SDHD,chr11,112086824,112120016,+,4,No,Yes
ENST00000353533,NM_003010,6416,MAP2K4,chr17,12020829,12143830,+,11,No,Yes
ENST00000392485,NM_003016,6427,SRSF2,chr17,76734115,76737374,-,2,No,No
ENST00000344626,NM_003072,6597,SMARCA4,chr19,10960825,11079426,+,35,No,Yes
ENST00000644036,NM_003073,6598,SMARCB1,chr22,23786931,23838008,+,9,No,Yes
ENST00000394963,NM_003076,6602,SMARCD1,chr12,50085200,50100707,+,13,No,No
ENST00000325404,NM_003106,6657,SOX2,chr3,181711925,181714436,+,1,Yes,No
ENST00000345506,NM_003152,6776,STAT5A,chr17,42287547,42311943,+,20,Yes,No
ENST00000375754,NM_003177,6850,SYK,chr9,90801787,90898549,+,14,Yes,No
ENST00000361337,NM_003286,7150,TOP1,chr20,41028822,41124487,+,21,No,Yes
ENST00000560371,NM_003300,7187,TRAF3,chr14,102777449,102911500,+,11,No,Yes
ENST00000525621,NM_003331,7297,TYK2,chr19,10350529,10380572,-,25,Yes,No
ENST00000401558,NM_003400,7514,XPO1,chr2,61477849,61538626,-,25,Yes,No
ENST00000262238,NM_003403,7528,YY1,chr14,100238298,100282788,+,5,Yes,No
ENST00000626021,NM_003463,7803,PTP4A1,chr6,63521746,63583436,+,5,No,No
ENST00000429538,NM_003466,7849,PAX8,chr2,113215997,113278921,-,12,Yes,No
ENST00000241393,NM_003467,7852,CXCR4,chr2,136114349,136118149,-,2,Yes,No
ENST00000652689,NM_003472,7913,DEK,chr6,18223860,18264548,-,11,Yes,No
ENST00000301067,NM_003482,8085,KMT2D,chr12,49018975,49059774,-,54,No,Yes
ENST00000366696,NM_003493,8290,HIST3H3,chr1,228424845,228425325,-,1,No,No
ENST00000366696,NM_003493,8290,H3-4,chr1,228424845,228425325,-,1,No,No
ENST00000262320,NM_003502,8312,AXIN1,chr16,287440,352723,-,11,No,Yes
ENST00000613174,NM_003511,8332,HIST1H2AL,chr6,27865355,27865747,+,1,No,No
ENST00000613174,NM_003511,8332,H2AC16,chr6,27865355,27865747,+,1,No,No
ENST00000377791,NM_003512,8334,HIST1H2AC,chr6,26124145,26139116,+,2,No,No
ENST00000377791,NM_003512,8334,H2AC6,chr6,26124145,26139116,+,2,No,No
ENST00000359611,NM_003514,8336,HIST1H2AM,chr6,27892757,27893149,-,1,No,No
ENST00000359611,NM_003514,8336,H2AC17,chr6,27892757,27893149,-,1,No,No
ENST00000541790,NM_003518,8339,HIST1H2BG,chr6,26215159,26216692,-,1,No,NO
ENST00000541790,NM_003518,8339,H2BC8,chr6,26215159,26216692,-,1,No,No
ENST00000396984,NM_003526,8347,HIST1H2BC,chr6,26114873,26123926,-,1,No,No
ENST00000396984,NM_003526,8347,H2BC4,chr6,26114873,26123926,-,1,No,No
ENST00000616182,NM_003527,8348,HIST1H2BO,chr6,27893463,27893843,+,1,No,No
ENST00000616182,NM_003527,8348,H2BC17,chr6,27893463,27893843,+,1,No,No
ENST00000613854,NM_003529,8350,HIST1H3A,chr6,26020490,26020900,+,1,No,No
ENST00000613854,NM_003529,8350,H3C1,chr6,26020490,26020900,+,1,No,No
ENST00000356476,NM_003530,8351,HIST1H3D,chr6,26196840,26197250,-,1,No,No
ENST00000356476,NM_003530,8351,H3C4,chr6,26196840,26197250,-,1,No,No
ENST00000612966,NM_003531,8352,NIST1H3C,chr6,26045411,26045869,+,1,No,No
ENST00000612966,NM_003531,8352,H3C3,chr6,26045411,26045869,+,1,No,No
ENST00000614911,NM_003532,8353,HIST1H3E,chr6,26224199,26227473,+,1,No,No
ENST00000614911,NM_003532,8353,H3C6,chr6,26224199,26227473,+,1,No,No
